epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
                      0,                  3.091,                 3.5312,                 3.8546,                0.00514,                0.79584,                0.01652,                0.00489,                 2.5268,                 3.3466,                 3.5402,               0.070195,              0.0033117,              0.0033117
                      1,                 2.6881,                 2.4893,                 3.2502,                 0.4974,                0.34034,                0.35842,                 0.1486,                 2.0418,                 3.3147,                 2.9316,               0.040129,              0.0065792,              0.0065792
                      2,                 2.0681,                 1.7288,                 2.6179,                0.76192,                0.67294,                0.74252,                  0.462,                 1.4452,                 1.7286,                 2.1113,              0.0099972,              0.0097808,              0.0097808
                      3,                 1.6252,                 1.3711,                 2.1678,                0.83789,                0.70178,                0.79097,                0.52998,                 1.3001,                 1.2395,                 1.9335,               0.009703,               0.009703,               0.009703
                      4,                 1.3525,                 1.1318,                 1.8655,                0.92988,                0.81484,                0.89824,                0.63597,                 1.0954,                0.89846,                 1.6459,               0.009703,               0.009703,               0.009703
                      5,                 1.2071,                0.98419,                 1.7108,                0.96959,                0.82755,                0.91907,                0.70302,                0.93299,                0.73369,                 1.5082,               0.009604,               0.009604,               0.009604
                      6,                 1.1314,                0.90424,                 1.6311,                0.95742,                0.86521,                0.93882,                0.71749,                0.89551,                0.66538,                 1.4408,               0.009505,               0.009505,               0.009505
                      7,                 1.0845,                0.84129,                 1.5761,                0.96358,                0.86521,                0.94178,                0.72915,                0.87199,                0.65578,                 1.4476,               0.009406,               0.009406,               0.009406
                      8,                 1.0498,                0.81279,                 1.5378,                0.97562,                0.88305,                0.94949,                0.74063,                0.86224,                0.65969,                 1.4183,               0.009307,               0.009307,               0.009307
                      9,                 1.0021,                0.75998,                  1.498,                0.97562,                0.88702,                0.96336,                 0.7593,                0.82878,                0.56225,                 1.3668,               0.009208,               0.009208,               0.009208
                     10,                0.97789,                 0.7253,                 1.4745,                0.96052,                0.89212,                0.95391,                0.76055,                0.83018,                0.56295,                 1.3826,               0.009109,               0.009109,               0.009109
                     11,                0.95492,                0.71199,                 1.4469,                 0.9502,                0.90764,                0.96539,                0.77278,                0.80341,                0.56814,                  1.342,                0.00901,                0.00901,                0.00901
                     12,                0.94478,                0.70119,                   1.44,                0.95884,                0.90783,                0.96684,                 0.7804,                 0.7901,                0.54199,                 1.2958,               0.008911,               0.008911,               0.008911
                     13,                0.90162,                0.65093,                 1.3966,                0.97729,                0.90684,                0.96866,                0.79028,                0.75037,                0.50085,                 1.2833,               0.008812,               0.008812,               0.008812
                     14,                0.90516,                0.64978,                 1.4009,                0.96264,                0.92765,                0.97635,                0.80396,                0.72276,                0.48331,                 1.2462,               0.008713,               0.008713,               0.008713
                     15,                0.88439,                0.62756,                 1.3768,                0.96805,                0.93261,                0.97823,                0.80199,                0.75526,                0.47161,                 1.2811,               0.008614,               0.008614,               0.008614
                     16,                 0.8716,                0.61298,                 1.3688,                0.97877,                0.91398,                0.97818,                0.80776,                 0.7426,                0.45904,                 1.2627,               0.008515,               0.008515,               0.008515
                     17,                0.86643,                0.61465,                 1.3591,                0.97988,                0.92369,                0.98075,                 0.8128,                0.72048,                0.45242,                 1.2461,               0.008416,               0.008416,               0.008416
                     18,                0.86515,                0.59372,                 1.3454,                0.97907,                 0.9227,                0.97684,                0.81103,                0.72278,                0.46756,                 1.2467,               0.008317,               0.008317,               0.008317
                     19,                0.85432,                0.59124,                 1.3478,                0.97817,                0.93252,                0.98369,                0.82018,                0.71048,                0.42685,                 1.2402,               0.008218,               0.008218,               0.008218
                     20,                0.84304,                0.57801,                  1.332,                0.96716,                 0.9336,                0.98222,                0.82023,                0.70777,                0.43939,                 1.2349,               0.008119,               0.008119,               0.008119
                     21,                 0.8371,                0.57445,                 1.3299,                 0.9722,                0.93578,                0.98078,                 0.8258,                0.69331,                0.41725,                  1.216,                0.00802,                0.00802,                0.00802
                     22,                0.83081,                0.55964,                 1.3253,                0.98152,                 0.9445,                0.98498,                0.82783,                0.69393,                 0.4212,                 1.2188,               0.007921,               0.007921,               0.007921
                     23,                0.82023,                0.55116,                  1.314,                0.96866,                0.94957,                0.98713,                0.82616,                0.68983,                0.41573,                 1.2049,               0.007822,               0.007822,               0.007822
                     24,                0.81424,                0.54609,                 1.3092,                0.98902,                0.92963,                0.98388,                0.82631,                0.69905,                0.41794,                 1.2201,               0.007723,               0.007723,               0.007723
                     25,                0.81878,                0.55214,                 1.3003,                 0.9729,                0.94054,                0.98501,                0.82946,                0.68134,                0.41456,                 1.1961,               0.007624,               0.007624,               0.007624
                     26,                0.82496,                0.55069,                 1.3134,                 0.9714,                0.94258,                0.98778,                0.82527,                0.69924,                0.39569,                 1.2087,               0.007525,               0.007525,               0.007525
                     27,                0.80886,                0.54517,                 1.3043,                0.97427,                0.94846,                0.98637,                0.83673,                  0.671,                0.38993,                 1.1914,               0.007426,               0.007426,               0.007426
                     28,                0.80218,                0.53195,                 1.2879,                0.97939,                0.94201,                0.98794,                0.83546,                0.67181,                0.38741,                 1.1801,               0.007327,               0.007327,               0.007327
                     29,                0.79324,                  0.527,                 1.2871,                0.98029,                0.93632,                0.98405,                0.83422,                0.66279,                0.38911,                 1.1786,               0.007228,               0.007228,               0.007228
                     30,                0.79792,                0.53171,                 1.2864,                0.97716,                 0.9445,                0.98822,                0.83022,                0.67697,                0.39195,                 1.1893,               0.007129,               0.007129,               0.007129
                     31,                0.78418,                0.52219,                 1.2829,                0.98144,                0.93855,                0.98618,                0.83597,                 0.6675,                0.40202,                 1.1858,                0.00703,                0.00703,                0.00703
                     32,                  0.779,                 0.5127,                 1.2741,                0.97969,                 0.9445,                 0.9886,                0.84678,                0.64976,                0.37224,                 1.1769,               0.006931,               0.006931,               0.006931
                     33,                0.77055,                0.50017,                 1.2673,                0.96989,                0.94549,                0.98659,                0.84325,                0.65239,                0.38066,                 1.1786,               0.006832,               0.006832,               0.006832
                     34,                0.78213,                0.51354,                 1.2706,                0.97387,                0.95045,                0.98897,                0.83674,                 0.6657,                0.37541,                 1.1778,               0.006733,               0.006733,               0.006733
                     35,                0.75948,                0.49624,                 1.2517,                0.96186,                0.95441,                0.98588,                 0.8422,                 0.6481,                0.37786,                 1.1632,               0.006634,               0.006634,               0.006634
                     36,                0.75506,                0.49963,                 1.2503,                0.97018,                0.94846,                0.98951,                0.84821,                0.64728,                0.37897,                 1.1604,               0.006535,               0.006535,               0.006535
                     37,                0.76235,                0.50002,                 1.2524,                0.98042,                0.94303,                0.98823,                0.84545,                0.64929,                0.36673,                 1.1689,               0.006436,               0.006436,               0.006436
                     38,                0.76171,                0.49276,                 1.2635,                 0.9665,                0.95937,                0.98819,                0.84209,                0.65045,                0.36449,                 1.1603,               0.006337,               0.006337,               0.006337
                     39,                0.75237,                0.48039,                 1.2424,                0.97959,                 0.9513,                0.98781,                0.85447,                0.62328,                0.35844,                 1.1414,               0.006238,               0.006238,               0.006238
                     40,                0.74915,                0.48328,                 1.2499,                0.97087,                 0.9554,                0.98893,                0.84785,                0.64259,                0.36637,                  1.165,               0.006139,               0.006139,               0.006139
                     41,                0.73935,                0.47612,                 1.2402,                0.97758,                0.95055,                0.98993,                0.85201,                0.63342,                0.36662,                 1.1448,                0.00604,                0.00604,                0.00604
                     42,                0.74642,                0.47382,                 1.2382,                0.96427,                0.96293,                0.98999,                0.85063,                0.62908,                0.36039,                 1.1473,               0.005941,               0.005941,               0.005941
                     43,                0.74077,                0.47584,                 1.2347,                0.96207,                0.95534,                0.98805,                0.85521,                 0.6191,                0.35252,                 1.1362,               0.005842,               0.005842,               0.005842
                     44,                0.73191,                0.46492,                 1.2297,                0.96254,                0.96767,                0.99085,                0.85304,                0.62922,                0.34531,                  1.144,               0.005743,               0.005743,               0.005743
                     45,                0.72537,                0.45699,                 1.2217,                0.98141,                0.95342,                0.99193,                0.85309,                 0.6308,                0.34594,                 1.1368,               0.005644,               0.005644,               0.005644
                     46,                0.73137,                0.46422,                 1.2256,                0.98457,                0.93855,                 0.9905,                0.85558,                0.61805,                0.34262,                 1.1296,               0.005545,               0.005545,               0.005545
                     47,                0.73301,                0.46245,                 1.2208,                0.95879,                0.96855,                0.99152,                0.85753,                0.61315,                0.35029,                 1.1218,               0.005446,               0.005446,               0.005446
                     48,                0.73247,                0.46909,                  1.221,                0.96321,                0.96003,                0.99079,                0.86025,                 0.6107,                0.34545,                  1.123,               0.005347,               0.005347,               0.005347
                     49,                0.72299,                0.45992,                 1.2136,                0.98265,                0.95408,                0.99188,                0.85512,                0.61736,                0.33948,                 1.1414,               0.005248,               0.005248,               0.005248
                     50,                0.71392,                0.45145,                  1.209,                0.97473,                 0.9554,                0.99074,                0.85907,                0.61698,                  0.333,                 1.1278,               0.005149,               0.005149,               0.005149
                     51,                0.71898,                0.45961,                 1.2095,                0.95824,                0.96928,                0.99051,                0.85946,                0.61385,                0.33353,                  1.119,                0.00505,                0.00505,                0.00505
                     52,                0.71346,                0.44915,                 1.2164,                0.97454,                0.94822,                0.99069,                0.85796,                0.61825,                0.34245,                 1.1255,               0.004951,               0.004951,               0.004951
                     53,                0.71437,                 0.4458,                 1.2127,                0.97027,                0.96036,                0.99145,                0.85842,                0.60927,                0.32699,                 1.1144,               0.004852,               0.004852,               0.004852
                     54,                0.71258,                 0.4436,                 1.2096,                0.98141,                0.95937,                0.99098,                0.86145,                0.61419,                0.32795,                 1.1289,               0.004753,               0.004753,               0.004753
                     55,                0.71411,                0.44497,                 1.2167,                0.97476,                0.95696,                0.99059,                0.85824,                0.61178,                0.33643,                 1.1276,               0.004654,               0.004654,               0.004654
                     56,                 0.6949,                 0.4421,                  1.203,                0.97198,                0.96279,                0.99085,                0.86386,                0.60058,                0.32524,                  1.113,               0.004555,               0.004555,               0.004555
                     57,                0.70166,                0.43998,                 1.2057,                0.97108,                0.96497,                0.99159,                0.86469,                0.60033,                0.32333,                 1.1137,               0.004456,               0.004456,               0.004456
                     58,                0.69925,                0.43041,                 1.1982,                0.97881,                0.96147,                0.99204,                0.86142,                0.60213,                0.31809,                 1.1139,               0.004357,               0.004357,               0.004357
                     59,                0.69728,                0.44124,                 1.2007,                0.97496,                0.96456,                0.99154,                0.86769,                0.59283,                0.32231,                 1.1091,               0.004258,               0.004258,               0.004258
                     60,                0.68858,                0.42515,                 1.1875,                0.97566,                0.96333,                0.99215,                0.86882,                 0.5971,                0.31404,                 1.1077,               0.004159,               0.004159,               0.004159
                     61,                0.68172,                0.42349,                 1.1842,                0.96535,                0.96634,                0.99163,                0.86867,                0.59429,                0.31169,                 1.1006,                0.00406,                0.00406,                0.00406
                     62,                0.69357,                0.43127,                 1.1964,                0.96841,                0.96729,                0.99193,                0.86509,                0.59263,                 0.3215,                 1.1073,               0.003961,               0.003961,               0.003961
                     63,                 0.6934,                0.43035,                 1.1924,                0.97864,                0.95339,                0.99119,                0.86936,                0.58728,                0.31646,                 1.1003,               0.003862,               0.003862,               0.003862
                     64,                0.69113,                0.42518,                 1.1997,                0.97981,                 0.9618,                0.99223,                0.87045,                0.59276,                0.30871,                 1.1053,               0.003763,               0.003763,               0.003763
                     65,                0.67662,                0.41242,                  1.177,                0.96753,                0.96928,                0.99237,                 0.8701,                0.58724,                0.30965,                 1.0989,               0.003664,               0.003664,               0.003664
                     66,                0.68053,                0.41316,                 1.1858,                0.97985,                0.96135,                0.99171,                0.86921,                 0.5905,                0.31492,                 1.1059,               0.003565,               0.003565,               0.003565
                     67,                0.68447,                0.41836,                 1.1846,                0.96975,                0.97423,                0.99194,                0.87082,                0.59003,                 0.3095,                 1.1028,               0.003466,               0.003466,               0.003466
                     68,                0.67218,                0.41053,                 1.1741,                0.97333,                0.97126,                0.99239,                0.87377,                0.58065,                0.30249,                   1.09,               0.003367,               0.003367,               0.003367
                     69,                0.66296,                0.40509,                 1.1663,                0.96644,                0.97032,                0.99248,                 0.8747,                0.57751,                0.30432,                 1.0808,               0.003268,               0.003268,               0.003268
                     70,                0.67621,                0.41613,                 1.1717,                0.97762,                0.96928,                0.99242,                0.87439,                0.57422,                0.29833,                 1.0815,               0.003169,               0.003169,               0.003169
                     71,                0.66456,                0.40888,                 1.1601,                0.97477,                0.96829,                 0.9921,                 0.8735,                0.57678,                0.30135,                 1.0839,                0.00307,                0.00307,                0.00307
                     72,                0.66651,                0.40881,                 1.1699,                 0.9779,                 0.9663,                0.99249,                0.87552,                0.57385,                0.29772,                 1.0828,               0.002971,               0.002971,               0.002971
                     73,                0.66289,                0.40529,                 1.1612,                0.97696,                0.96671,                0.99266,                0.87363,                 0.5761,                  0.297,                 1.0824,               0.002872,               0.002872,               0.002872
                     74,                0.66071,                0.39801,                 1.1589,                0.98018,                0.96036,                0.99222,                 0.8756,                0.57092,                0.30258,                 1.0866,               0.002773,               0.002773,               0.002773
                     75,                0.65801,                0.40442,                 1.1655,                0.97028,                 0.9707,                 0.9927,                0.87164,                0.58186,                0.30471,                 1.0852,               0.002674,               0.002674,               0.002674
                     76,                0.65043,                0.39367,                 1.1502,                  0.971,                0.96829,                 0.9926,                0.87498,                0.57216,                0.29647,                 1.0817,               0.002575,               0.002575,               0.002575
                     77,                0.65347,                0.39101,                 1.1541,                0.97514,                0.97199,                0.99289,                 0.8786,                0.56439,                0.28859,                 1.0834,               0.002476,               0.002476,               0.002476
                     78,                0.64005,                  0.387,                 1.1443,                0.98091,                 0.9677,                0.99277,                0.87975,                0.56165,                0.29089,                 1.0714,               0.002377,               0.002377,               0.002377
                     79,                0.64253,                0.39063,                 1.1531,                   0.97,                0.97324,                0.99267,                0.87978,                 0.5646,                0.28649,                 1.0778,               0.002278,               0.002278,               0.002278
                     80,                0.64354,                0.38612,                 1.1511,                0.97234,                0.97721,                0.99274,                0.87714,                0.57148,                0.29054,                 1.0783,               0.002179,               0.002179,               0.002179
                     81,                0.64098,                0.39086,                 1.1528,                0.98282,                0.96372,                0.99268,                0.88059,                 0.5621,                0.28674,                 1.0799,                0.00208,                0.00208,                0.00208
                     82,                0.63373,                0.37409,                 1.1396,                0.98098,                0.95937,                0.99267,                0.88056,                0.56395,                0.28437,                 1.0768,               0.001981,               0.001981,               0.001981
                     83,                0.63333,                0.37819,                 1.1459,                0.97886,                0.96389,                 0.9921,                0.88364,                0.55553,                0.28203,                 1.0683,               0.001882,               0.001882,               0.001882
                     84,                0.64114,                0.38513,                 1.1415,                0.96952,                 0.9773,                0.99313,                0.88097,                0.55753,                0.28313,                 1.0679,               0.001783,               0.001783,               0.001783
                     85,                0.63122,                0.38134,                  1.138,                0.96099,                0.98414,                0.99286,                 0.8841,                0.55428,                0.28515,                 1.0691,               0.001684,               0.001684,               0.001684
                     86,                 0.6392,                0.38186,                 1.1488,                  0.978,                0.96923,                0.99292,                0.88529,                0.55513,                0.28036,                 1.0691,               0.001585,               0.001585,               0.001585
                     87,                0.62031,                0.37222,                 1.1364,                0.97621,                0.97617,                0.99282,                0.88491,                 0.5517,                0.27895,                 1.0664,               0.001486,               0.001486,               0.001486
                     88,                0.62324,                0.37432,                 1.1327,                0.97812,                 0.9749,                0.99276,                0.88354,                0.55079,                0.28027,                 1.0683,               0.001387,               0.001387,               0.001387
                     89,                0.61935,                0.37142,                 1.1346,                  0.977,                 0.9681,                0.99282,                0.88413,                0.54771,                0.28024,                 1.0618,               0.001288,               0.001288,               0.001288
                     90,                0.62178,                0.37411,                 1.1398,                0.97896,                0.96928,                0.99304,                0.88869,                0.54405,                0.27431,                 1.0614,               0.001189,               0.001189,               0.001189
                     91,                 0.6295,                0.37305,                 1.1356,                0.98152,                0.96928,                0.99252,                0.88646,                0.54556,                0.27788,                 1.0645,                0.00109,                0.00109,                0.00109
                     92,                0.62533,                0.37222,                 1.1361,                0.97179,                0.97522,                0.99285,                0.88743,                0.54255,                0.27569,                 1.0594,               0.000991,               0.000991,               0.000991
                     93,                0.61418,                0.36111,                 1.1275,                0.98696,                0.95837,                0.99287,                0.88818,                0.53493,                0.27387,                 1.0508,               0.000892,               0.000892,               0.000892
                     94,                0.61679,                0.36475,                 1.1324,                0.98244,                0.96729,                0.99298,                0.88707,                 0.5404,                 0.2739,                 1.0545,               0.000793,               0.000793,               0.000793
                     95,                0.60459,                0.36018,                   1.12,                0.98001,                0.97185,                0.99301,                0.88727,                0.53936,                0.27285,                 1.0542,               0.000694,               0.000694,               0.000694
                     96,                0.60267,                0.35773,                  1.117,                0.98385,                0.96572,                0.99266,                0.88648,                0.53969,                0.27341,                  1.056,               0.000595,               0.000595,               0.000595
                     97,                0.61263,                  0.368,                 1.1269,                0.97433,                0.97225,                0.99297,                0.88871,                0.53568,                0.26656,                 1.0529,               0.000496,               0.000496,               0.000496
                     98,                0.60268,                0.35827,                 1.1161,                0.97902,                0.97121,                0.99313,                0.88847,                0.53638,                0.27126,                 1.0522,               0.000397,               0.000397,               0.000397
                     99,                0.60764,                0.35639,                 1.1155,                0.97862,                0.96829,                0.99313,                0.88961,                0.53549,                0.27161,                 1.0516,               0.000298,               0.000298,               0.000298
